mls_number,listing_url,price_raw,price,property_type,address,city_province_postal,latitude,longitude,bedrooms,bathrooms,half_bathrooms,size_interior,stories,building_type,parking_spaces_total,description,photo_url,listed_date_utc,days_on_market,agent_name,brokerage_name,brokerage_phone
A2340132,https://www.realtor.ca/real-estate/30201052/160-dover-ridge-bay-se-calgary-dover,"$499,900",499900.0,Single Family,160 Dover Ridge Bay SE,"Calgary, Alberta T2B2B5",51.019760767,-113.990494813,3 + 2,3,1,1156 sqft,1,House,2,,https://cdn.realtor.ca/listings/TS639233586433530000/reb9/medres/2/A2340132_1.jpg,639233730433500000,13 hours ago,Sabriya Halford,2% Realty,606-3500
A2339809,https://www.realtor.ca/real-estate/30201051/299-woodside-circle-sw-calgary-woodlands,"$575,000",575000.0,Single Family,299 Woodside Circle SW,"Calgary, Alberta T2W3K2",50.939447385,-114.113355149,3,3,1,1136.48 sqft,,House,2,,https://cdn.realtor.ca/listings/TS639233677511500000/reb9/medres/9/A2339809_1.jpg,639233730414300000,13 hours ago,Daniyal Nasiri,MaxWell Canyon Creek,278-8899
A2340348,https://www.realtor.ca/real-estate/30201035/6607-malvern-road-ne-calgary-marlborough-park,"$484,900",484900.0,Single Family,6607 Malvern Road NE,"Calgary, Alberta T2A5C3",51.054795199,-113.93838797,3 + 2,2,0,983.2 sqft,1,House,2,,https://cdn.realtor.ca/listings/TS639233586171330000/reb9/medres/8/A2340348_1.jpg,639233730171300000,13 hours ago,Jeremy Dinh,eXp Realty,262-7653
A2339726,https://www.realtor.ca/real-estate/30200927/78-everglen-way-sw-calgary-evergreen,"$639,900",639900.0,Single Family,78 Everglen Way SW,"Calgary, Alberta T2Y5G3",50.913128127,-114.126871308,3,3,1,1635.36 sqft,2,House,1,,https://cdn.realtor.ca/listings/TS639233749165330000/reb9/medres/6/A2339726_1.jpg,639233722390730000,13 hours ago,Juanita Power,First Place Realty,547-8401
A2340077,https://www.realtor.ca/real-estate/30200898/471-buffaloberry-manor-se-calgary-ricardo-ranch,"$619,715",619715.0,Single Family,471 Buffaloberry Manor SE,"Calgary, Alberta T3M4G8",50.862300923,-113.950905546,3,3,1,1656.6 sqft,2,House,2,,https://cdn.realtor.ca/listings/TS639233572698430000/reb25/medres/7/A2340077_1.jpg,639233716698330000,14 hours ago,David Lofthaug,Bode Platform Inc.,602-3307
A2340294,https://www.realtor.ca/real-estate/30200855/17-sandpiper-link-nw-calgary-sandstone-valley,"$300,000",300000.0,Single Family,17 Sandpiper Link NW,"Calgary, Alberta T3K4L7",51.137372025,-114.092876035,3,2,1,1173 sqft,2,Row / Townhouse,2,,https://cdn.realtor.ca/listings/TS639233568137170000/reb9/medres/4/A2340294_1.jpg,639233712137070000,14 hours ago,Justin Havre,eXp Realty,262-7653
A2340376,https://www.realtor.ca/real-estate/30200852/15-10-sage-meadows-landing-nw-calgary-sage-hill,"$399,900",399900.0,Single Family,"15, 10 Sage Meadows Landing NW","Calgary, Alberta T3P2Z8",51.181930818,-114.133641927,3,3,1,1487 sqft,3,Row / Townhouse,1,,https://cdn.realtor.ca/listings/TS639233567838330000/reb9/medres/6/A2340376_1.jpg,639233711838300000,14 hours ago,Cindy Cheng,Century 21 Bravo Realty,250-2882
A2338363,https://www.realtor.ca/real-estate/30200851/55-anaheim-crescent-ne-calgary-monterey-park,"$599,000",599000.0,Single Family,55 Anaheim Crescent NE,"Calgary, Alberta T1Y7B8",51.0844733,-113.9246402,3 + 1,4,1,1439.22 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233605167300000/reb9/medres/3/A2338363_1.jpg,639233711821870000,14 hours ago,Happe Dhillon,RE/MAX Crown,455-5215
A2340328,https://www.realtor.ca/real-estate/30200808/70-rosemary-gardens-se-calgary-rangeview,"$724,900",724900.0,Single Family,70 Rosemary Gardens SE,"Calgary, Alberta T3S1B2",50.870948027,-113.908337716,4,3,1,2069.05 sqft,2,House,4,,https://cdn.realtor.ca/listings/TS639233565913770000/reb25/medres/8/A2340328_1.jpg,639233709913730000,14 hours ago,David Lofthaug,Bode Platform Inc.,602-3307
A2340358,https://www.realtor.ca/real-estate/30200778/40-pinecliff-close-calgary-pineridge,"$370,000",370000.0,Single Family,40 Pinecliff Close,"Calgary, Alberta T1Y4N5",51.0766512,-113.9360342,3,2,1,1085 sqft,2,Duplex,2,,https://cdn.realtor.ca/listings/TS639233617164270000/reb9/medres/8/A2340358_1.jpg,639233705052600000,14 hours ago,Kevin Anh Huynh,REMAX Innovations,228-5557
A2339616,https://www.realtor.ca/real-estate/30200776/522-6400-coach-hill-road-sw-calgary-coach-hill,"$184,900",184900.0,Single Family,"522, 6400 Coach Hill Road SW","Calgary, Alberta T3H1B8",51.057580371,-114.178904414,2,1,0,864.69 sqft,4,Apartment,,,https://cdn.realtor.ca/listings/TS639233629092770000/reb9/medres/6/A2339616_1.jpg,639233704545300000,14 hours ago,Dorothea Sautter,Royal LePage Benchmark,253-1901
A2338971,https://www.realtor.ca/real-estate/30200687/2218-35-street-sw-calgary-killarneyglengarry,"$1,199,900",1199900.0,Single Family,2218 35 Street SW,"Calgary, Alberta T3X2X8",51.034117,-114.1380115,3 + 2,4,1,1921.6 sqft,2,Duplex,2,,https://cdn.realtor.ca/listings/TS639233549626630000/reb9/medres/1/A2338971_1.jpg,639233693626600000,14 hours ago,Harry Morgan,Royal LePage Blue Sky,338-2200
A2326363,https://www.realtor.ca/real-estate/30200656/3815-7a-street-sw-calgary-elbow-park,"$1,785,000",1785000.0,Single Family,3815 7A Street SW,"Calgary, Alberta T2T2Y8",51.021056165,-114.082605995,3 + 1,4,1,2040.8 sqft,2,House,2,,https://cdn.realtor.ca/listings/TS639233928212830000/reb9/medres/3/A2326363_1.jpg,639233692042030000,14 hours ago,Derrick Newman,CIR Realty,271-0600
